country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","20-05-2025 21:00:00",29.063510,77.709723,OZONE,27,147,110
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","20-05-2025 21:00:00",28.83526,78.74460,NO2,NA,NA,NA
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","20-05-2025 21:00:00",28.840739,78.697531,OZONE,41,94,82
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","20-05-2025 21:00:00",28.856664,78.772638,NO2,24,25,25
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","20-05-2025 21:00:00",28.856664,78.772638,NH3,6,6,6
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","20-05-2025 21:00:00",28.856664,78.772638,SO2,25,51,39
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","20-05-2025 21:00:00",28.802625,78.753728,PM10,22,101,60
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","20-05-2025 21:00:00",28.83526,78.74460,NH3,NA,NA,NA
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","20-05-2025 21:00:00",22.6025571,88.3105664,PM2.5,3,56,25
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","20-05-2025 21:00:00",22.6025571,88.3105664,OZONE,46,77,69
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","20-05-2025 21:00:00",22.611968,88.347422,PM2.5,10,54,29
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","20-05-2025 21:00:00",22.611968,88.347422,PM10,18,67,43
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","20-05-2025 21:00:00",22.611968,88.347422,NH3,9,10,10
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","20-05-2025 21:00:00",22.5687319,88.2797276,PM10,30,67,47
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB","20-05-2025 21:00:00",22.5687319,88.2797276,CO,14,28,21
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","20-05-2025 21:00:00",22.58157048,88.41002457,SO2,7,10,8
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","20-05-2025 21:00:00",22.556640,88.342674,PM2.5,24,25,25
