City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Hubli,NA,Chandramouleshwar temple,monument,Temple,900
Hubli,NA,banashankari temple ,monument,temple,900
Hubli,NA,Someshwar temple,monument,temple,1000
Hubli,NA,Amruteshwar temple,monument,temple,1100
