City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Agra,NA,RED FORT,MONUMENT,"COURTYARD, PALACE",446
Agra,NA,TAJ MAHAL,MONUMENT,MAUSOLEUM,366
Agra,NA,FATEHPURI SIKRI,MONUMENT,"COURTYARD, PALACE",446
Agra,NA,AKBARS TOMB,TOMB,MAUSOLEUM,406
Agra,NA,ITIMAD-UD-DAULA,TOMB,MAUSOLEUM,391
Agra,NA,MEHTAB GARDEN,OPEN SPACE,GARDEN,367
