City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Sagar,Sagar,Sagar Fort,Sagar Fort,Tourism,110
Sagar,Sagar,Lakha Banjara ,Lake,Tourism,90
Sagar,Sagar,Moti Mashsid,Mosque,Religious,100
Sagar,Sagar,Rahatgarh Fort,Fort,Tourism,150
Sagar,Sagar,Teen Batti,Street,Public Place,80
