City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Thoothukudi,East Zone,Sankararameswar Koil,Temple,Public Use,500
Thoothukudi,East Zone,Vaikunda Perumal Koil,Temple,Public Use,500
Thoothukudi,East Zone,Snow Church,Temple,Public Use,400
Thoothukudi,West Zone,NA,NA,NA,NA
Thoothukudi,North Zone,NA,NA,NA,NA
Thoothukudi,South Zone,NA,NA,NA,NA
