City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
SALEM,HASTHAMPATTY,TEMPLE,SRI SUGAVANESWARAN TEMPLE,TEMPLE,300
SALEM,HASTHAMPATTY,TEMPLE,KOTTAI ALAGIRINATHAR TEMPLE,TEMPLE,150
SALEM,HASTHAMPATTY,TEMPLE,KOTTAI MARIAMMAN TEMPLE,TEMPLE,140
