City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Namchi,Namchi,Chardham Solophok,Temple,Monastery,8
Namchi,Namchi,Samdruptse,Monastery,Monastery,15
Namchi,Namchi,Shirdi Sai Mandir,Temple,Temple,9
Namchi,Namchi,Sorok Tamang Monastery,Monastery,Monastery,57
Namchi,Namchi,Ahaley Dechen Choling Monastery,Monastery,Monastery,71
Namchi,Namchi,Ngadak Gumpa,Monastery,Monastery,420
Namchi,Namchi,Rock Garden,Open Space,Recreation,14
