City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Thanjavur,Thanjavur,Bragadeeswarar Temple,Monuments,Worship,More than 1000years
Thanjavur,Thanjavur,Palace,Monuments,Kings heritage residence,More than 1000years
Thanjavur,Thanjavur,Manora,Monuments,Tourist Visit,More than 800years
Thanjavur,Thanjavur,Old District Collectorate museum,Monuments,Tourist Visit,More than 800years
