City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
KOTA,Kota city,Fort wall and gates,monuments,Residence,18th century
KOTA,North,Bade devta ji ki Haveli,Wall Paintings,"Residence , Pvt property",19th century
KOTA,North,Art Gallery,Collection of Modern Painting,Exhibition & Drama etc.,NA
