City Name,Zone Name,Name of heritage,"Nature of heritage (open space, monuments, street etc.)",Heritage use,Age of heritage (in Years)
Shivamogga,NA,Bheemeshwara Temple,Monument,Worship Place,Above 300
Shivamogga,NA,Kote Aanjaneya Swami Temple,Monument,Worship Place,Above 300
Shivamogga,NA,Shivappa Nayak Palace,Monument,Museum,374
